Protein1,Protein2
tr|Q9VBJ2|Q9VBJ2_DROME,XBmRNA19332|XBXL10_1g10349
sp|P55824|FAF_DROME,XBmRNA17922|XBXL10_1g9624
sp|Q5EAK6|ATM_DROME,XBmRNA16048|XBXL10_1g8480
tr|M9MRV7|M9MRV7_DROME,XBmRNA77132|XBXL10_1g40883
tr|Q9W246|Q9W246_DROME,XBmRNA23247|XBXL10_1g12430
sp|Q9VL06|UFD4_DROME,XBmRNA68474|XBXL10_1g36172
tr|B7Z141|B7Z141_DROME,XBmRNA1884|XBXL10_1g1167
tr|Q7PLL6|Q7PLL6_DROME,XBmRNA9681|XBXL10_1g5214
sp|P13368|7LESS_DROME,XBmRNA43760|XBXL10_1g23434
sp|Q9VW47|MED12_DROME,XBmRNA66059|XBXL10_1g34968
sp|Q9VXG8|ATR_DROME,XBmRNA45094|XBXL10_1g24105
tr|A0A0B4KHT3|A0A0B4KHT3_DROME,XBmRNA25399|XBXL10_1g13379
tr|A0A0B4LEZ3|A0A0B4LEZ3_DROME,XBmRNA34884|XBXL10_1g18932
tr|A1Z784|A1Z784_DROME,XBmRNA18453|XBXL10_1g9877
sp|Q9VK45|TOR_DROME,XBmRNA58364|XBXL10_1g30904
sp|Q9VE34|EPG5_DROME,XBmRNA6140|XBXL10_1g3367
sp|P13395|SPTCA_DROME,XBmRNA65055|XBXL10_1g34450
tr|A1Z7S0|A1Z7S0_DROME,XBmRNA50985|XBXL10_1g27234
tr|M9PB01|M9PB01_DROME,XBmRNA67104|XBXL10_1g35534
tr|A1Z8U0|A1Z8U0_DROME,XBmRNA17606|XBXL10_1g9439
tr|Q9VJ82|Q9VJ82_DROME,XBmRNA5806|XBXL10_1g3205
tr|X2JEM2|X2JEM2_DROME,XBmRNA35698|XBXL10_1g19320
tr|Q9VZS7|Q9VZS7_DROME,XBmRNA12209|XBXL10_1g6514
tr|M9PCG3|M9PCG3_DROME,XBmRNA14800|XBXL10_1g7857
sp|Q00963|SPTCB_DROME,XBmRNA46771|XBXL10_1g25054
tr|Q7KVD1|Q7KVD1_DROME,XBmRNA51500|XBXL10_1g27461
sp|Q9VGP1|ZFY26_DROME,XBmRNA68758|XBXL10_1g36370
sp|Q9VCN1|DPOE1_DROME,XBmRNA4334|XBXL10_1g2487
tr|A8JUW5|A8JUW5_DROME,XBmRNA19682|XBXL10_1g10522
tr|Q9VC96|Q9VC96_DROME,XBmRNA66500|XBXL10_1g35228
sp|P05990|PYR1_DROME,XBmRNA46194|XBXL10_1g24744
sp|Q9W3M3|UBR3_DROME,XBmRNA76586|XBXL10_1g40677
sp|Q9VEN1|FLNA_DROME,XBmRNA65203|XBXL10_1g34506
tr|Q8INC3|Q8INC3_DROME,XBmRNA12170|XBXL10_1g6490
tr|Q9VF56|Q9VF56_DROME,XBmRNA43916|XBXL10_1g23521
tr|A0A0B4KGF6|A0A0B4KGF6_DROME,XBmRNA68478|XBXL10_1g36173
sp|Q9VUV9|U520_DROME,XBmRNA28859|XBXL10_1g15445
sp|P51123|TAF1_DROME,XBmRNA66033|XBXL10_1g34957
sp|Q9VM75|HEAT1_DROME,XBmRNA46964|XBXL10_1g25161
tr|Q9V9W7|Q9V9W7_DROME,XBmRNA5016|XBXL10_1g2821
sp|Q9U3V9|XMAS_DROME,XBmRNA76786|XBXL10_1g40775
tr|Q9VPI9|Q9VPI9_DROME,XBmRNA35225|XBXL10_1g19080
tr|Q9VD07|Q9VD07_DROME,XBmRNA11789|XBXL10_1g6283
sp|Q99323|MYSN_DROME,XBmRNA81187|XBXL10_1g43183
sp|Q9W1C5|INT1_DROME,XBmRNA77633|XBXL10_1g41145
tr|Q9W444|Q9W444_DROME,XBmRNA47283|XBXL10_1g25325
sp|Q9VEZ3|MSPS_DROME,XBmRNA38711|XBXL10_1g20937
tr|Q9VXV3|Q9VXV3_DROME,XBmRNA46879|XBXL10_1g25108
sp|P16621|LAR_DROME,XBmRNA3657|XBXL10_1g2035
tr|Q9VLS7|Q9VLS7_DROME,XBmRNA26181|XBXL10_1g13757
tr|A0A0B4K7Q6|A0A0B4K7Q6_DROME,XBmRNA61503|XBXL10_1g32581
tr|Q0E8T7|Q0E8T7_DROME,XBmRNA11330|XBXL10_1g6067
tr|A1Z8W8|A1Z8W8_DROME,XBmRNA62083|XBXL10_1g32878
sp|P05661|MYSA_DROME,XBmRNA14365|XBXL10_1g7651
sp|Q9VC45|ASP_DROME,XBmRNA36048|XBXL10_1g19499
tr|A1Z9W4|A1Z9W4_DROME,XBmRNA20935|XBXL10_1g11149
tr|Q9VKD0|Q9VKD0_DROME,XBmRNA12253|XBXL10_1g6541
tr|Q9VF02|Q9VF02_DROME,XBmRNA57123|XBXL10_1g30325
tr|Q9VKG8|Q9VKG8_DROME,XBmRNA58073|XBXL10_1g30782
tr|Q9VJY7|Q9VJY7_DROME,XBmRNA77417|XBXL10_1g41036
tr|Q9VZX7|Q9VZX7_DROME,XBmRNA33378|XBXL10_1g18079
sp|Q9V677|ECM29_DROME,XBmRNA3168|XBXL10_1g1786
sp|P04052|RPB1_DROME,XBmRNA27748|XBXL10_1g14926
tr|M9NGY4|M9NGY4_DROME,XBmRNA67400|XBXL10_1g35703
sp|Q7KU24|CHD1_DROME,XBmRNA5388|XBXL10_1g3000
tr|A8DY93|A8DY93_DROME,XBmRNA40689|XBXL10_1g21909
sp|A1Z6H7|PO210_DROME,XBmRNA37457|XBXL10_1g20179
sp|A0A0B4K859|NU188_DROME,XBmRNA71172|XBXL10_1g37675
sp|P91645|CAC1A_DROME,XBmRNA40392|XBXL10_1g21777
sp|Q9VMJ7|KDM5_DROME,XBmRNA65148|XBXL10_1g34485
sp|Q9W420|SPT6H_DROME,XBmRNA12213|XBXL10_1g6517
tr|Q9W1Y8|Q9W1Y8_DROME,XBmRNA25561|XBXL10_1g13452
sp|O96838|FYV1_DROME,XBmRNA77234|XBXL10_1g40941
sp|P11046|LAMB1_DROME,XBmRNA41440|XBXL10_1g22292
tr|A0A1L4AAD6|A0A1L4AAD6_DROME,XBmRNA32350|XBXL10_1g17566
sp|P08120|CO4A1_DROME,XBmRNA71785|XBXL10_1g37974
sp|Q9W0S9|DIP2_DROME,XBmRNA50126|XBXL10_1g26814
tr|Q9VMR4|Q9VMR4_DROME,XBmRNA53240|XBXL10_1g28339
sp|Q9W040|OSM1_DROME,XBmRNA46184|XBXL10_1g24741
sp|Q9VW09|LTN1_DROME,XBmRNA11834|XBXL10_1g6302
sp|Q9VWB9|THADA_DROME,XBmRNA42074|XBXL10_1g22577
tr|Q9W350|Q9W350_DROME,XBmRNA56290|XBXL10_1g29902
tr|Q9V4D8|Q9V4D8_DROME,XBmRNA30716|XBXL10_1g16355
tr|Q9VEZ2|Q9VEZ2_DROME,XBmRNA3314|XBXL10_1g1860
tr|X2JEC6|X2JEC6_DROME,XBmRNA75226|XBXL10_1g39991
sp|P28668|SYEP_DROME,XBmRNA42208|XBXL10_1g22641
sp|Q9W1X4|NU214_DROME,XBmRNA64954|XBXL10_1g34403
sp|Q9V8R9|EPB41_DROME,XBmRNA43641|XBXL10_1g23378
sp|Q9VR59|VIP1_DROME,XBmRNA5367|XBXL10_1g2994
sp|Q9VLT1|MON2_DROME,XBmRNA23355|XBXL10_1g12482
sp|P29742|CLH_DROME,XBmRNA19085|XBXL10_1g10203
sp|Q9W3D3|CRAG_DROME,XBmRNA25454|XBXL10_1g13410
sp|A1ZAJ2|KIF1A_DROME,XBmRNA48684|XBXL10_1g26017
sp|Q9VMD0|DAXX_DROME,XBmRNA66865|XBXL10_1g35412
tr|Q9Y0Z1|Q9Y0Z1_DROME,XBmRNA58531|XBXL10_1g30973
tr|Q9VJW1|Q9VJW1_DROME,XBmRNA55715|XBXL10_1g29595
tr|E2QCS8|E2QCS8_DROME,XBmRNA71700|XBXL10_1g37925
sp|P91875|RPA1_DROME,XBmRNA633|XBXL10_1g588
sp|P15215|LAMC1_DROME,XBmRNA40382|XBXL10_1g21771
sp|Q9VDY1|INO80_DROME,XBmRNA72680|XBXL10_1g38481
sp|P25439|BRM_DROME,XBmRNA9054|XBXL10_1g4842
sp|Q9W1B0|GEK_DROME,XBmRNA46476|XBXL10_1g24914
tr|Q9W437|Q9W437_DROME,XBmRNA74697|XBXL10_1g39709
tr|Q9VU57|Q9VU57_DROME,XBmRNA23091|XBXL10_1g12358
tr|A0A0B4KHX7|A0A0B4KHX7_DROME,XBmRNA68297|XBXL10_1g36095
tr|Q9VSE6|Q9VSE6_DROME,XBmRNA11210|XBXL10_1g5996
tr|Q8MSQ4|Q8MSQ4_DROME,XBmRNA47301|XBXL10_1g25336
tr|Q8IMW9|Q8IMW9_DROME,XBmRNA21339|XBXL10_1g11360
tr|Q7KTC0|Q7KTC0_DROME,XBmRNA81076|XBXL10_1g43123
sp|Q09332|UGGG_DROME,XBmRNA45552|XBXL10_1g24335
sp|Q9VQH2|DUOX_DROME,XBmRNA24845|XBXL10_1g13125
sp|Q9I7S6|PDE9A_DROME,XBmRNA58588|XBXL10_1g30989
tr|Q9W543|Q9W543_DROME,XBmRNA10903|XBXL10_1g5830
tr|M9PEM2|M9PEM2_DROME,XBmRNA22278|XBXL10_1g11929
tr|Q7KTG6|Q7KTG6_DROME,XBmRNA14635|XBXL10_1g7770
tr|Q9W002|Q9W002_DROME,XBmRNA32211|XBXL10_1g17462
tr|Q7KTZ4|Q7KTZ4_DROME,XBmRNA77906|XBXL10_1g41288
sp|P10676|NINAC_DROME,XBmRNA76590|XBXL10_1g40678
tr|Q9VDA0|Q9VDA0_DROME,XBmRNA67728|XBXL10_1g35843
tr|Q9W1R3|Q9W1R3_DROME,XBmRNA51258|XBXL10_1g27342
tr|Q9VLP5|Q9VLP5_DROME,XBmRNA42433|XBXL10_1g22771
tr|Q7KSN8|Q7KSN8_DROME,XBmRNA68440|XBXL10_1g36155
sp|Q8INT5|DAAF1_DROME,XBmRNA39229|XBXL10_1g21178
tr|A1Z7L1|A1Z7L1_DROME,XBmRNA25273|XBXL10_1g13331
tr|Q8MYL1|Q8MYL1_DROME,XBmRNA36623|XBXL10_1g19797
sp|Q9VP05|MED1_DROME,XBmRNA51347|XBXL10_1g27385
sp|Q8IRB5|CLSPN_DROME,XBmRNA18764|XBXL10_1g10039
tr|M9MSM5|M9MSM5_DROME,XBmRNA68101|XBXL10_1g36012
sp|Q9V726|CPSF1_DROME,XBmRNA56396|XBXL10_1g29941
tr|A8DZ26|A8DZ26_DROME,XBmRNA44756|XBXL10_1g23938
tr|Q9VQZ1|Q9VQZ1_DROME,XBmRNA75365|XBXL10_1g40071
sp|A1ZAB5|CLU_DROME,XBmRNA17672|XBXL10_1g9474
sp|Q9NHE5|CAPS_DROME,XBmRNA41628|XBXL10_1g22366
sp|P15348|TOP2_DROME,XBmRNA73535|XBXL10_1g38967
sp|Q8IRI6|GTR1_DROME,XBmRNA56669|XBXL10_1g30105
sp|Q9W1X7|MED23_DROME,XBmRNA43654|XBXL10_1g23382
sp|Q9VF26|SPNE_DROME,XBmRNA67973|XBXL10_1g35945
tr|Q9VY97|Q9VY97_DROME,XBmRNA50987|XBXL10_1g27235
sp|Q9U969|SWS_DROME,XBmRNA70782|XBXL10_1g37497
sp|Q9XZ34|RIF1_DROME,XBmRNA81653|XBXL10_1g43427
sp|Q9VKJ1|MPND_DROME,XBmRNA8003|XBXL10_1g4316
sp|Q9VKJ3|NU160_DROME,XBmRNA32953|XBXL10_1g17839
tr|Q9V3A7|Q9V3A7_DROME,XBmRNA44959|XBXL10_1g24037
tr|B7YZX6|B7YZX6_DROME,XBmRNA13386|XBXL10_1g7135
tr|M9PHH0|M9PHH0_DROME,XBmRNA15009|XBXL10_1g7939
tr|A0A4D6K5M0|A0A4D6K5M0_DROME,XBmRNA67582|XBXL10_1g35778
tr|A8JUY3|A8JUY3_DROME,XBmRNA58072|XBXL10_1g30781
tr|Q9VAJ1|Q9VAJ1_DROME,XBmRNA61259|XBXL10_1g32456
tr|A1ZBM3|A1ZBM3_DROME,XBmRNA1036|XBXL10_1g757
sp|Q9V463|NU154_DROME,XBmRNA5891|XBXL10_1g3254
tr|Q9VIU8|Q9VIU8_DROME,XBmRNA51046|XBXL10_1g27257
sp|P35421|PUR4_DROME,XBmRNA83085|XBXL10_1g44190
tr|Q9VTS3|Q9VTS3_DROME,XBmRNA23889|XBXL10_1g12718
tr|A1Z987|A1Z987_DROME,XBmRNA942|XBXL10_1g720
tr|B7YZF8|B7YZF8_DROME,XBmRNA1099|XBXL10_1g780
sp|Q27571|NOS_DROME,XBmRNA49439|XBXL10_1g26470
tr|A0A0B4K620|A0A0B4K620_DROME,XBmRNA43589|XBXL10_1g23355
sp|Q9VKB9|RBGPR_DROME,XBmRNA42212|XBXL10_1g22644
tr|Q9VPR5|Q9VPR5_DROME,XBmRNA77314|XBXL10_1g40983
tr|A8DWJ8|A8DWJ8_DROME,XBmRNA29011|XBXL10_1g15523
tr|Q9V416|Q9V416_DROME,XBmRNA3358|XBXL10_1g1880
sp|A1ZAV1|C2D2A_DROME,XBmRNA884|XBXL10_1g699
sp|Q9VJ87|CWC22_DROME,XBmRNA81947|XBXL10_1g43550
tr|Q7KNF1|Q7KNF1_DROME,XBmRNA51634|XBXL10_1g27533
tr|B7YZY2|B7YZY2_DROME,XBmRNA51546|XBXL10_1g27478
sp|Q9VIL0|BRUN_DROME,XBmRNA53206|XBXL10_1g28330
tr|M9PCP3|M9PCP3_DROME,XBmRNA76171|XBXL10_1g40491
sp|P25455|PIP1_DROME,XBmRNA33539|XBXL10_1g18203
tr|Q9VZ81|Q9VZ81_DROME,XBmRNA24902|XBXL10_1g13148
tr|Q9W247|Q9W247_DROME,XBmRNA53365|XBXL10_1g28406
sp|Q24595|XPC_DROME,XBmRNA36928|XBXL10_1g19957
sp|P24785|MLE_DROME,XBmRNA40383|XBXL10_1g21772
tr|A0A0B4JD55|A0A0B4JD55_DROME,XBmRNA51311|XBXL10_1g27365
sp|Q9VF87|CYFIP_DROME,XBmRNA28247|XBXL10_1g15154
tr|Q9VRV2|Q9VRV2_DROME,XBmRNA47127|XBXL10_1g25249
tr|Q9VT48|Q9VT48_DROME,XBmRNA76184|XBXL10_1g40493
tr|Q9VMQ4|Q9VMQ4_DROME,XBmRNA58434|XBXL10_1g30938
tr|D6W4T8|D6W4T8_DROME,XBmRNA77993|XBXL10_1g41326
sp|Q9VB25|KL98A_DROME,XBmRNA42571|XBXL10_1g22846
sp|P43125|RDGB_DROME,XBmRNA10009|XBXL10_1g5365
sp|Q24020|FLII_DROME,XBmRNA82857|XBXL10_1g44048
tr|Q9VK06|Q9VK06_DROME,XBmRNA52036|XBXL10_1g27722
tr|Q9VYT4|Q9VYT4_DROME,XBmRNA66110|XBXL10_1g34992
sp|Q01989|MYS9_DROME,XBmRNA44192|XBXL10_1g23684
sp|Q9VGK7|ELP1_DROME,XBmRNA8016|XBXL10_1g4327
sp|Q9NG98|TOP3A_DROME,XBmRNA78157|XBXL10_1g41421
sp|Q9VKY2|CAND1_DROME,XBmRNA30532|XBXL10_1g16262
sp|Q9W391|KPBA_DROME,XBmRNA12493|XBXL10_1g6662
tr|Q9VWE7|Q9VWE7_DROME,XBmRNA46388|XBXL10_1g24859
sp|Q8T626|DLT_DROME,XBmRNA68217|XBXL10_1g36069
tr|Q9VCD8|Q9VCD8_DROME,XBmRNA65299|XBXL10_1g34556
tr|Q9VXH3|Q9VXH3_DROME,XBmRNA53274|XBXL10_1g28352
tr|Q4U2Q5|Q4U2Q5_DROME,XBmRNA14756|XBXL10_1g7838
tr|Q9W0B8|Q9W0B8_DROME,XBmRNA72994|XBXL10_1g38683
tr|Q6NNB2|Q6NNB2_DROME,XBmRNA5416|XBXL10_1g3015
tr|M9PC99|M9PC99_DROME,XBmRNA62097|XBXL10_1g32882
tr|Q8MSW0|Q8MSW0_DROME,XBmRNA41117|XBXL10_1g22119
sp|Q9W0M7|SF3B3_DROME,XBmRNA34857|XBXL10_1g18916
sp|Q9VUX2|MIB_DROME,XBmRNA52291|XBXL10_1g27840
tr|Q9VKJ6|Q9VKJ6_DROME,XBmRNA26475|XBXL10_1g13955
tr|Q9VXW2|Q9VXW2_DROME,XBmRNA22560|XBXL10_1g12094
tr|Q9VY54|Q9VY54_DROME,XBmRNA39385|XBXL10_1g21287
sp|Q24325|TAF2_DROME,XBmRNA53089|XBXL10_1g28265
sp|Q9VK33|SMBT_DROME,XBmRNA74795|XBXL10_1g39759
tr|Q5U0V7|Q5U0V7_DROME,XBmRNA11777|XBXL10_1g6280
tr|Q9VK44|Q9VK44_DROME,XBmRNA58332|XBXL10_1g30892
tr|Q9VSP0|Q9VSP0_DROME,XBmRNA61513|XBXL10_1g32589
tr|Q9W097|Q9W097_DROME,XBmRNA49010|XBXL10_1g26206
tr|Q9W1Q5|Q9W1Q5_DROME,XBmRNA3525|XBXL10_1g1981
sp|Q9VY99|NNAD_DROME,XBmRNA32972|XBXL10_1g17850
tr|Q9VXE9|Q9VXE9_DROME,XBmRNA56485|XBXL10_1g30009
sp|Q03720|SLO_DROME,XBmRNA58082|XBXL10_1g30785
tr|Q0E9E2|Q0E9E2_DROME,XBmRNA37785|XBXL10_1g20542
tr|Q9VCH8|Q9VCH8_DROME,XBmRNA66956|XBXL10_1g35457
sp|O46072|KZ_DROME,XBmRNA4906|XBXL10_1g2783
sp|Q9VUY8|WASC5_DROME,XBmRNA56106|XBXL10_1g29799
tr|Q8T0L3|Q8T0L3_DROME,XBmRNA69956|XBXL10_1g37094
tr|Q8IPI3|Q8IPI3_DROME,XBmRNA15490|XBXL10_1g8189
sp|A1Z7T0|PKN_DROME,XBmRNA35907|XBXL10_1g19426
sp|Q9VUM0|MSH6_DROME,XBmRNA42017|XBXL10_1g22541
tr|Q9VQ78|Q9VQ78_DROME,XBmRNA75608|XBXL10_1g40184
tr|Q0KHR4|Q0KHR4_DROME,XBmRNA52532|XBXL10_1g27980
tr|A1Z813|A1Z813_DROME,XBmRNA28466|XBXL10_1g15259
tr|Q9VQR8|Q9VQR8_DROME,XBmRNA22975|XBXL10_1g12294
sp|Q9VBP3|TNKS_DROME,XBmRNA61799|XBXL10_1g32733
tr|M9PJN5|M9PJN5_DROME,XBmRNA64367|XBXL10_1g34125
sp|P08266|RPB2_DROME,XBmRNA7937|XBXL10_1g4273
sp|Q02280|KCNAE_DROME,XBmRNA42104|XBXL10_1g22590
tr|Q9W235|Q9W235_DROME,XBmRNA35306|XBXL10_1g19111
tr|A1ZBL9|A1ZBL9_DROME,XBmRNA70298|XBXL10_1g37251
tr|Q9VSJ6|Q9VSJ6_DROME,XBmRNA36890|XBXL10_1g19939
tr|Q86P36|Q86P36_DROME,XBmRNA54116|XBXL10_1g28779
tr|Q9VMY8|Q9VMY8_DROME,XBmRNA8134|XBXL10_1g4375
sp|Q8MSU4|SYMPK_DROME,XBmRNA72193|XBXL10_1g38214
sp|Q95UN8|M3KSL_DROME,XBmRNA67172|XBXL10_1g35567
tr|Q9W4K1|Q9W4K1_DROME,XBmRNA5631|XBXL10_1g3113
tr|Q9VVC9|Q9VVC9_DROME,XBmRNA57919|XBXL10_1g30706
sp|Q9VP22|CDK12_DROME,XBmRNA51349|XBXL10_1g27387
tr|Q9VA99|Q9VA99_DROME,XBmRNA78440|XBXL10_1g41612
sp|Q27607|DPOG1_DROME,XBmRNA25281|XBXL10_1g13332
tr|Q9VZP5|Q9VZP5_DROME,XBmRNA14598|XBXL10_1g7751
tr|Q0KI33|Q0KI33_DROME,XBmRNA56618|XBXL10_1g30071
tr|Q9VGI4|Q9VGI4_DROME,XBmRNA40193|XBXL10_1g21679
sp|Q9XYZ5|DDB1_DROME,XBmRNA38234|XBXL10_1g20766
sp|Q9VN25|EIF3A_DROME,XBmRNA61122|XBXL10_1g32398
tr|M9PDL2|M9PDL2_DROME,XBmRNA35657|XBXL10_1g19293
tr|Q9VWI5|Q9VWI5_DROME,XBmRNA67127|XBXL10_1g35548
sp|P25167|RPC2_DROME,XBmRNA28168|XBXL10_1g15104
tr|Q9VD22|Q9VD22_DROME,XBmRNA43367|XBXL10_1g23269
tr|Q9VGE4|Q9VGE4_DROME,XBmRNA19445|XBXL10_1g10398
sp|A1Z7Z9|CP131_DROME,XBmRNA74672|XBXL10_1g39703
tr|Q9VS90|Q9VS90_DROME,XBmRNA34998|XBXL10_1g18980
tr|A0A0B4KF25|A0A0B4KF25_DROME,XBmRNA25731|XBXL10_1g13538
sp|Q9VYQ8|UBP7_DROME,XBmRNA82396|XBXL10_1g43777
sp|P20028|RPA2_DROME,XBmRNA42788|XBXL10_1g22969
sp|P55162|HEM_DROME,XBmRNA76762|XBXL10_1g40761
sp|Q8SY41|BCAS3_DROME,XBmRNA13994|XBXL10_1g7420
tr|Q9VIP4|Q9VIP4_DROME,XBmRNA36081|XBXL10_1g19512
tr|Q7KN85|Q7KN85_DROME,XBmRNA79300|XBXL10_1g42182
sp|P40798|STC_DROME,XBmRNA54911|XBXL10_1g29211
sp|Q9VA38|WARTS_DROME,XBmRNA47345|XBXL10_1g25353
tr|Q9VN44|Q9VN44_DROME,XBmRNA14820|XBXL10_1g7861
sp|Q9VX31|INT2_DROME,XBmRNA19096|XBXL10_1g10209
tr|Q8IRL9|Q8IRL9_DROME,XBmRNA62003|XBXL10_1g32831
sp|Q9GQN0|RBP16_DROME,XBmRNA28660|XBXL10_1g15338
sp|P13217|PIPA_DROME,XBmRNA46823|XBXL10_1g25075
sp|Q9VLS1|KPBB_DROME,XBmRNA39770|XBXL10_1g21479
sp|P54358|DPOD1_DROME,XBmRNA60207|XBXL10_1g31899
sp|Q8IRG6|SPT16_DROME,XBmRNA4198|XBXL10_1g2396
sp|Q9N2M8|HDC_DROME,XBmRNA43453|XBXL10_1g23301
tr|Q9VH80|Q9VH80_DROME,XBmRNA75021|XBXL10_1g39891
sp|Q9V460|SPT5H_DROME,XBmRNA72556|XBXL10_1g38411
tr|Q9VSS9|Q9VSS9_DROME,XBmRNA9606|XBXL10_1g5166
tr|A1ZB84|A1ZB84_DROME,XBmRNA6192|XBXL10_1g3393
tr|A0A0B4LGD3|A0A0B4LGD3_DROME,XBmRNA9446|XBXL10_1g5073
tr|Q7K0Q2|Q7K0Q2_DROME,XBmRNA10644|XBXL10_1g5676
tr|Q9VUJ2|Q9VUJ2_DROME,XBmRNA51431|XBXL10_1g27419
sp|Q9VEV4|CL16A_DROME,XBmRNA77475|XBXL10_1g41062
sp|Q9TVM2|XPO1_DROME,XBmRNA42672|XBXL10_1g22898
tr|M9PG15|M9PG15_DROME,XBmRNA50970|XBXL10_1g27228
tr|E8NHA2|E8NHA2_DROME,XBmRNA57494|XBXL10_1g30525
